QPS Tables 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3906 - PROJECT PIXEL, GDS - DIGITAL LANDSCAPES",,,,,,,,,,,,,,,,,,,,,,,,,,,
Significance testing at 95 percent level of confidence  Produced by 2CV for GDS - 29 August 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ2. Gender?,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services,Online for any services at G2 (m),Government Transactors,Use Government info online but do not transact,,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Male,48%,49%,47%,41%,45%,50%,54%,51%,100%,0%,49%,43%,52%,44%,52%,50%,61%,,,,,,,,,,
Female,52%,51%,53%,59%,55%,50%,46%,49%,0%,100%,51%,57%,49%,56%,48%,50%,40%,,,,,,,,,,
,,,,,,,,,,,485.1,132.44,617.54,,,,,,,,,,,,,,
2,,,,,,,,,,,504.9,175.56,680.46,,,,,,,,,,,,,,
dAge. Age,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
16-24,16%,13%,100%,0%,0%,0%,0%,0%,16%,16%,19%,3%,17%,22%,18%,16%,24%,,,,,,,,,,
25-34,16%,17%,0%,100%,0%,0%,0%,0%,14%,18%,19%,3%,19%,20%,19%,18%,24%,,,,,,,,,,
35-44,18%,18%,0%,0%,100%,0%,0%,0%,17%,19%,20%,8%,19%,22%,20%,20%,17%,,,,,,,,,,
45-54,16%,16%,0%,0%,0%,100%,0%,0%,17%,16%,16%,18%,17%,14%,17%,18%,9%,,,,,,,,,,
55-64,14%,16%,0%,0%,0%,0%,100%,0%,16%,12%,12%,24%,13%,10%,13%,12%,16%,,,,,,,,,,
65 and over,20%,20%,0%,0%,0%,0%,0%,100%,21%,19%,15%,45%,16%,13%,14%,17%,10%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG. SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
A,5%,6%,6%,2%,4%,6%,4%,7%,6%,4%,6%,2%,6%,5%,6%,7%,5%,,,,,,,,,,
B,17%,21%,19%,13%,15%,15%,18%,23%,21%,14%,20%,5%,21%,17%,21%,22%,15%,,,,,,,,,,
C1,28%,22%,31%,36%,29%,22%,28%,23%,28%,28%,31%,15%,33%,26%,33%,33%,38%,,,,,,,,,,
C2,20%,20%,19%,15%,24%,26%,19%,18%,20%,20%,20%,18%,20%,22%,20%,20%,16%,,,,,,,,,,
D,20%,15%,19%,25%,22%,24%,19%,13%,16%,23%,19%,23%,17%,25%,17%,16%,22%,,,,,,,,,,
E,10%,17%,6%,10%,6%,9%,12%,17%,9%,11%,4%,37%,3%,6%,3%,3%,5%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ4a. Region Net,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
